Coverage ErrorRate EditDis n Freq
150 0.5 0 4 75880
150 0.5 0 5 53130
150 0.5 0 6 31297
150 0.5 0 7 15696
150 0.5 0 8 6867
150 0.5 0 9 2590
150 0.5 0 10 968
150 0.5 0 11 312
150 0.5 0 12 91
150 0.5 0 13 28
150 0.5 2 1 5282
150 0.5 2 2 10787
150 0.5 2 3 15628
150 0.5 2 4 18500
150 0.5 2 5 20566
150 0.5 2 6 24251
150 0.5 2 7 30285
150 0.5 2 8 37248
150 0.5 2 9 44241
150 0.5 2 10 47696
150 0.5 2 11 48835
150 0.5 2 12 45588
150 0.5 2 13 39627
150 0.5 2 14 31709
150 0.5 2 15 22999
150 0.5 2 16 16165
150 0.5 2 17 11100
150 0.5 2 18 7100
150 0.5 2 19 4130
150 0.5 2 20 2080
150 0.5 2 21 1138
150 0.5 2 22 717
150 0.5 2 23 295
150 0.5 2 24 144
150 0.5 2 25 70
150 0.5 2 26 6
150 0.5 4 1 30
150 0.5 4 2 68
150 0.5 4 3 160
150 0.5 4 4 356
150 0.5 4 5 867
150 0.5 4 6 1680
150 0.5 4 7 2995
150 0.5 4 8 4872
150 0.5 4 9 7273
150 0.5 4 10 10219
150 0.5 4 11 13322
150 0.5 4 12 16926
150 0.5 4 13 20782
150 0.5 4 14 25468
150 0.5 4 15 29496
150 0.5 4 16 33627
150 0.5 4 17 36284
150 0.5 4 18 37999
150 0.5 4 19 38540
150 0.5 4 20 37138
150 0.5 4 21 34532
150 0.5 4 22 31011
150 0.5 4 23 26253
150 0.5 4 24 21196
150 0.5 4 25 16890
150 0.5 4 26 12587
150 0.5 4 27 9355
150 0.5 4 28 6195
150 0.5 4 29 4626
150 0.5 4 30 2717
150 0.5 4 31 1784
150 0.5 4 32 1102
150 0.5 4 33 718
150 0.5 4 34 374
150 0.5 4 35 198
150 0.5 4 36 93
150 0.5 4 37 64
150 0.5 4 38 15
150 0.5 4 39 4
150 0.5 4 40 7
150 0.5 4 41 7
150 0.5 6 4 4
150 0.5 6 5 5
150 0.5 6 6 14
150 0.5 6 7 27
150 0.5 6 8 76
150 0.5 6 9 186
150 0.5 6 10 336
150 0.5 6 11 585
